ElementId,Category,FamilyAndType,Mark,LocationType,Model_X_ft,Model_Y_ft,Model_Z_ft,Tag_U_ft,Tag_V_ft,ViewLocal_U_ft,ViewLocal_V_ft,BBox_Min_X,BBox_Min_Y,BBox_Max_X,BBox_Max_Y
2235281,Top Rails,"_IBC-Circular - 1 1/2"" (Extension Top and Bottom)",,BBoxCenter,-37.0729,44.3646,-1.3000,-37.0729,44.3646,-37.0729,44.3646,-43.3646,44.3021,-30.7813,44.4271
2235296,Handrails,"_IBC-Bottom Rail Circular - 1 1/2""",,BBoxCenter,-37.1146,44.3646,-2.2505,-37.1146,44.3646,-37.1146,44.3646,-43.3646,44.3021,-30.8646,44.4271
2235310,Handrails,"_IBC-Handrail Circular - 1 1/2"" (Extension Top and Bottom)",,BBoxCenter,-37.1146,44.5521,-1.5500,-37.1146,44.5521,-37.1146,44.5521,-44.1146,44.4896,-30.1146,44.6146
2235467,Supports,"2'-8"" Picket",,Point,-40.3743,44.3646,-0.7103,-40.3743,44.3646,-40.3743,44.3646,-40.3952,44.3438,-40.3535,44.3854
2235468,Supports,"2'-8"" Picket",,Point,-40.6707,44.3646,-0.5646,-40.6707,44.3646,-40.6707,44.3646,-40.6915,44.3438,-40.6498,44.3854
2235469,Supports,"2'-8"" Picket",,Point,-40.9670,44.3646,-0.4189,-40.9670,44.3646,-40.9670,44.3646,-40.9878,44.3438,-40.9462,44.3854
2235470,Supports,"2'-8"" Picket",,Point,-41.2633,44.3646,-0.2732,-41.2633,44.3646,-41.2633,44.3646,-41.2842,44.3438,-41.2425,44.3854
2235471,Supports,"2'-8"" Picket",,Point,-41.5597,44.3646,-0.1275,-41.5597,44.3646,-41.5597,44.3646,-41.5805,44.3438,-41.5388,44.3854
2235472,Supports,"2'-8"" Picket",,Point,-41.8560,44.3646,0.0182,-41.8560,44.3646,-41.8560,44.3646,-41.8769,44.3438,-41.8352,44.3854
2235473,Supports,"2'-8"" Picket",,Point,-42.1524,44.3646,0.1639,-42.1524,44.3646,-42.1524,44.3646,-42.1732,44.3438,-42.1315,44.3854
2235474,Supports,"2'-8"" Picket",,Point,-42.4487,44.3646,0.3096,-42.4487,44.3646,-42.4487,44.3646,-42.4695,44.3438,-42.4279,44.3854
2235475,Supports,"2'-8"" Picket",,Point,-42.7450,44.3646,0.4553,-42.7450,44.3646,-42.7450,44.3646,-42.7659,44.3438,-42.7242,44.3854
2235476,Supports,"2'-8"" Picket",,Point,-43.0414,44.3646,0.6010,-43.0414,44.3646,-43.0414,44.3646,-43.0622,44.3438,-43.0205,44.3854
2235477,Supports,"2'-8"" Picket",,Point,-43.3646,44.3646,0.6370,-43.3646,44.3646,-43.3646,44.3646,-43.3854,44.3438,-43.3438,44.3854
2235608,Railings,_IBC-Pipe-Plate Stringer (Extension Bottom),,BBoxCenter,-39.9375,46.1354,3.0833,-39.9375,46.1354,-39.9375,46.1354,-49.7604,44.1771,-30.1146,48.0938
2235613,Top Rails,"_IBC-Circular - 1 1/2"" (Extension Bottom)",,BBoxCenter,-40.2708,46.1458,-1.3000,-40.2708,46.1458,-40.2708,46.1458,-49.7604,44.1979,-30.7813,48.0938
2235628,Handrails,"_IBC-Bottom Rail Circular - 1 1/2""",,BBoxCenter,-40.3125,46.1458,-2.2505,-40.3125,46.1458,-40.3125,46.1458,-49.7604,44.1979,-30.8646,48.0938
2235642,Handrails,"_IBC-Handrail Circular - 1 1/2"" (Extension Bottom)",,BBoxCenter,-39.8438,46.0521,-1.5500,-39.8438,46.0521,-39.8438,46.0521,-49.5729,44.1979,-30.1146,47.9063
2236111,Shaft Openings,Opening Cut,,BBoxCenter,65.5631,0.8333,8.0833,65.5631,0.8333,65.5631,0.8333,63.6098,-1.4792,67.5163,3.1458
2238597,Floors,"Concrete Slab 6""",,BBoxCenter,-46.7484,46.1979,-0.2667,-46.7484,46.1979,-46.7484,46.1979,-49.8646,44.1979,-43.6323,48.1979
2239021,Cameras,Camera - Exterior Street View (Hidden),,BBoxCenter,-26.1040,-63.9239,36.5045,-26.1040,-63.9239,-26.1040,-63.9239,-116.8507,-121.0847,64.6427,-6.7631
2239073,Generic Models,"18"" Trebuchet MS",,Point,-108.0267,18.2604,7.0833,-108.0267,18.2604,-108.0267,18.2604,-108.0267,18.1771,-92.3789,18.2604
2239127,Plumbing Fixtures,"19"" x 19""",212,Point,26.1510,20.3560,8.0833,26.1510,20.3560,26.1510,20.3560,25.3594,19.8437,26.9427,21.4271
2239128,Plumbing Fixtures,"19"" x 19""",213,Point,28.9010,20.3560,8.0833,28.9010,20.3560,28.9010,20.3560,28.1094,19.8437,29.6927,21.4271
2239129,Casework,"72""",,Point,27.6458,21.6562,8.0833,27.6458,21.6562,27.6458,21.6562,24.6458,18.4292,30.6458,21.6562
2239213,Casework,"72""",,Point,32.6563,21.6562,8.0833,32.6563,21.6562,32.6563,21.6562,24.6458,19.5729,32.6563,21.6562
2248379,Cameras,3D (Shaded) Uncropped,,BBoxCenter,-722.8520,-2323.4312,978.1812,-722.8520,-2323.4312,-722.8520,-2323.4312,-1422.8924,-4641.0900,-22.8116,-5.7724
2259040,Shaft Openings,Opening Cut,,BBoxCenter,-109.9271,31.2292,8.0833,-109.9271,31.2292,-109.9271,31.2292,-110.5000,19.7083,-109.3542,42.7500
2278209,Wall Sweeps,Base_Simple,,BBoxCenter,32.6328,22.7005,8.2604,32.6328,22.7005,32.6328,22.7005,32.6094,22.2604,32.6563,23.1406
2281264,Wall Sweeps,Base_Simple,,BBoxCenter,-28.3958,13.7005,8.2604,-28.3958,13.7005,-28.3958,13.7005,-29.5938,13.6771,-27.1979,13.7240
2304725,Cameras,Walkthrough Lobby Stair,,BBoxCenter,-31.5478,-56.3579,4.5948,-31.5478,-56.3579,-31.5478,-56.3579,-100.4153,-119.9662,37.3197,7.2504
2306133,Views,Residential Lobby - North,,BBoxCenter,-8.4379,-10.2015,-5.9167,-8.4379,-10.2015,-8.4379,-10.2015,-9.8521,-12.3030,-7.0237,-8.1000
2331168,Shaft Openings,Opening Cut,,BBoxCenter,6.4948,12.7917,8.0833,6.4948,12.7917,6.4948,12.7917,4.0729,12.2969,8.9167,13.2865
2331649,Views,Residential Lobby - West,,BBoxCenter,-10.3512,-12.3030,-5.9167,-10.3512,-12.3030,-10.3512,-12.3030,-12.2645,-13.7172,-8.4379,-10.8888
2331658,Views,Residential Lobby - East,,BBoxCenter,-6.5246,-12.3030,-5.9167,-6.5246,-12.3030,-6.5246,-12.3030,-8.4379,-13.7172,-4.6113,-10.8888
