ElementId,Category,FamilyAndType,Mark,LocationType,FacingAngle_deg,Model_X_ft,Model_Y_ft,Model_Z_ft,Tag_U_ft,Tag_V_ft,ViewLocal_U_ft,ViewLocal_V_ft,BBox_Min_X,BBox_Min_Y,BBox_Max_X,BBox_Max_Y
1263678,Walls,"Chase - GWB & Metal Stud 4 1/4""",,CurveMidpt,,-50.4271,24.7526,-5.9167,-50.4271,24.7526,-50.4271,24.7526,-50.6042,9.5833,-50.2500,39.8438
1269640,Elevations,Elevation 1,,BBoxCenter,,-84.4039,36.5349,-5.9167,-84.4039,36.5349,-84.4039,36.5349,-85.9039,35.0349,-82.9039,38.0349
1269641,Views,Café Kitchen A,,BBoxCenter,,-83.9039,38.0857,-5.9167,-83.9039,38.0857,-83.9039,38.0857,-84.6110,37.0349,-83.1968,39.1364
1270819,Top Rails,"Elliptical - 1 1/2"" x 1 1/8"" (Extension Bottom)",,BBoxCenter,,-54.4792,26.5945,0.8374,-54.4792,26.5945,-54.4792,26.5945,-54.6042,18.7396,-54.3542,34.4494
1275286,Grids,E,,BBoxCenter,,-73.7834,41.4583,-1.9167,-73.7834,41.4583,-73.7834,41.4583,-104.2388,40.4583,-43.3280,42.4583
1275287,Grids,D,,BBoxCenter,,-73.7834,19.2083,-1.9167,-73.7834,19.2083,-73.7834,19.2083,-104.2388,18.2083,-43.3280,20.2083
1275297,Grids,2,,BBoxCenter,,-90.7917,26.5638,-1.9167,-90.7917,26.5638,-90.7917,26.5638,-91.7917,3.9570,-89.7917,49.1705
1275298,Grids,3,,BBoxCenter,,-70.0000,26.5638,-1.9167,-70.0000,26.5638,-70.0000,26.5638,-71.0000,3.9570,-69.0000,49.1705
1300836,Walls,"Exterior - 5 3/8"" Rainscreen w Insultation (for Concrete Core Walls)",,CurveMidpt,,-105.2135,18.4844,-5.9167,-105.2135,18.4844,-105.2135,18.4844,-110.9323,18.2604,-99.4948,18.7083
1304481,Walls,"Chase - GWB & Metal Stud 4 1/4""",,CurveMidpt,,-94.8151,34.4688,-5.9167,-94.8151,34.4688,-94.8151,34.4688,-99.6250,34.2917,-90.1042,34.6458
1304482,Walls,"Chase - GWB & Metal Stud 6 5/8""",,CurveMidpt,,-99.3490,38.3464,-5.9167,-99.3490,38.3464,-99.3490,38.3464,-99.6250,34.4688,-99.0729,42.2240
1304483,Walls,"Chase - GWB & Metal Stud 3 1/8""",,CurveMidpt,,-94.9010,25.0781,-5.9167,-94.9010,25.0781,-94.9010,25.0781,-99.6250,24.9479,-90.3073,25.2083
1304484,Walls,"Chase - GWB & Metal Stud 4 1/4""",,CurveMidpt,,-90.2812,29.8568,-5.9167,-90.2812,29.8568,-90.2812,29.8568,-90.4583,25.2448,-90.1042,34.5938
1304485,Walls,"Chase - GWB & Metal Stud 3 1/8""",,CurveMidpt,,-99.4948,21.9193,-5.9167,-99.4948,21.9193,-99.4948,21.9193,-99.6250,18.7604,-99.3646,25.0781
1342183,Walls,"Chase - GWB & Metal Stud 3 1/8""",,CurveMidpt,,-48.9546,18.0781,-3.4583,-48.9546,18.0781,-48.9546,18.0781,-49.5208,17.9479,-48.2582,18.2083
1343128,Walls,"Party - 6 1/8"" (2-hr)",,CurveMidpt,,-49.5208,14.3542,-3.4583,-49.5208,14.3542,-49.5208,14.3542,-50.0104,9.5000,-49.0312,19.2083
1374411,Columns,"24""D x 24""W",,Point,,-90.7917,19.2083,0.0000,-90.7917,19.2083,-90.7917,19.2083,-91.7917,18.2604,-89.7917,20.2604
1413471,Cameras,Green Roof - By Stair 1,,BBoxCenter,,133.9126,-41.4454,64.3333,133.9126,-41.4454,133.9126,-41.4454,-98.4946,-307.5293,366.3198,224.6386
1417475,Specialty Equipment,Wheel Chair Circle,,Point,360.0000,-60.5521,24.2604,-5.9167,-60.5521,24.2604,-60.5521,24.2604,-63.0521,21.7604,-58.0521,26.7604
1417476,Specialty Equipment,ADA Clear Space,,Point,45.0000,-61.1066,23.6098,-5.9167,-61.1066,23.6098,-61.1066,23.6098,-63.4047,21.3117,-58.8085,25.9079
1417662,Specialty Equipment,Wheel Chair Circle,,Point,360.0000,-60.5521,32.0000,-5.9167,-60.5521,32.0000,-60.5521,32.0000,-63.0521,29.5000,-58.0521,34.5000
1417686,Specialty Equipment,ADA Clear Space,,Point,315.0000,-61.1066,32.6506,-5.9167,-61.1066,32.6506,-61.1066,32.6506,-63.4047,30.3525,-58.8085,34.9487
1423874,Floors,Finish Floor - Laminate,,BBoxCenter,,-35.1927,3.8526,-3.7083,-35.1927,3.8526,-35.1927,3.8526,-49.7500,-28.1229,-20.6354,35.8281
1459117,Floors,Roof - Porcelain Float Deck 2'x2',,BBoxCenter,,-80.8750,5.1719,-5.8333,-80.8750,5.1719,-80.8750,5.1719,-111.5000,-7.9167,-50.2500,18.2604
1475270,Walls,"Exterior - 5 3/8"" Rainscreen w Insultation (for Concrete Core Walls)",,CurveMidpt,,-99.4010,43.0990,-5.9167,-99.4010,43.0990,-99.4010,43.0990,-99.6250,42.2240,-99.1771,43.9740
1475387,Walls,"Exterior - 5 3/8"" Rainscreen w Insultation (for Concrete Core Walls)",,CurveMidpt,,-49.9740,39.4870,-3.4583,-49.9740,39.4870,-49.9740,39.4870,-50.1979,36.2240,-49.7500,42.7500
1475676,Walls,"Exterior - 5 3/8"" Rainscreen w Insultation (for Concrete Core Walls)",,CurveMidpt,,-49.9740,43.0990,-3.4583,-49.9740,43.0990,-49.9740,43.0990,-50.1979,42.2240,-49.7500,43.9740
1483746,Walls,"Chase - GWB & Metal Stud 4 1/4""",,CurveMidpt,,-104.6510,41.9410,-5.9167,-104.6510,41.9410,-104.6510,41.9410,-109.1771,41.7500,-100.1250,43.1252
1646591,Railings,Pipe-Wall Mount,,BBoxCenter,,-100.6354,29.8125,-5.2928,-100.6354,29.8125,-100.6354,29.8125,-101.3715,24.4375,-99.8994,35.1875
1646672,Handrails,Pipe - Wall Mount,,BBoxCenter,,-100.6354,29.8125,-5.8761,-100.6354,29.8125,-100.6354,29.8125,-101.3715,24.4375,-99.8994,35.1875
1673837,Walls,"Chase - GWB & Metal Stud 3 1/8""",,CurveMidpt,,-90.1146,21.4115,-5.9167,-90.1146,21.4115,-90.1146,21.4115,-90.3073,21.2813,-89.7917,21.5417
1673921,Walls,"Chase - GWB & Metal Stud 3 1/8""",,CurveMidpt,,-89.9219,20.7865,-5.9167,-89.9219,20.7865,-89.9219,20.7865,-90.0521,20.1615,-89.7917,21.4896
1700768,Walls,Storefront,,CurveMidpt,,-70.3646,8.9792,-5.9167,-70.3646,8.9792,-70.3646,8.9792,-90.4792,8.4792,-50.2500,9.4792
1700769,Curtain Panels,Glazed,,BBoxCenter,,-87.5124,8.8750,-2.8125,-87.5124,8.8750,-87.5124,8.8750,-89.8438,8.8333,-85.1810,8.9167
1700770,Curtain Wall Mullions,"2.5"" x 5"" rectangular",,Point,180.0000,-89.8438,8.9792,-3.9167,-89.8438,8.9792,-89.8438,8.9792,-89.8438,8.7708,-85.1810,9.1875
1700771,Curtain Wall Mullions,"2.5"" x 5"" rectangular",,Point,180.0000,-50.2500,8.9792,-3.9167,-50.2500,8.9792,-50.2500,8.9792,-50.4583,8.7708,-50.2500,9.1875
1700773,Curtain Wall Grids,Grid Line,,BBoxCenter,,-85.0768,8.9792,-1.9167,-85.0768,8.9792,-85.0768,8.9792,-85.0768,8.4792,-85.0768,9.4792
1700774,Curtain Panels,Glazed,,BBoxCenter,,-82.5892,8.8750,-2.8125,-82.5892,8.8750,-82.5892,8.8750,-84.9727,8.8333,-80.2057,8.9167
1700775,Curtain Wall Grids,Grid Line,,BBoxCenter,,-80.1016,8.9792,-1.9167,-80.1016,8.9792,-80.1016,8.9792,-80.1016,8.4792,-80.1016,9.4792
1700776,Curtain Panels,Glazed,,BBoxCenter,,-77.6139,8.8750,-2.8125,-77.6139,8.8750,-77.6139,8.8750,-79.9974,8.8333,-75.2305,8.9167
1700777,Curtain Wall Grids,Grid Line,,BBoxCenter,,-75.1263,8.9792,-1.9167,-75.1263,8.9792,-75.1263,8.9792,-75.1263,8.4792,-75.1263,9.4792
