=== ELEMENTS ===
ElementId,Category,FamilyAndType,Mark,FacingAngle_deg,X_ft,Y_ft,Z_ft,MinX,MinY,MaxX,MaxY
1247521,Walls,"Interior - 4 7/8"" Partition (NR)",,90.0000,-61.5078,28.1302,-3.9167,-65.2500,27.9271,-57.7656,28.3333
1247720,Doors,"36"" x 84""",101C,180.0000,-59.2448,25.9896,-2.3333,-60.9688,24.3229,-57.5208,27.6563
1247789,Doors,"36"" x 84""",101B,180.0000,-59.2448,30.2708,-2.3333,-60.9688,28.6042,-57.5208,31.9375
1250036,Walls,"Interior - 4 7/8"" Partition (NR)",,90.0000,-56.0833,33.3802,-3.9167,-57.7656,33.1771,-54.4010,33.5833
1250146,Doors,"26"" x 84""",101A,-90.0000,-56.1250,32.3177,-2.3333,-57.3750,31.0104,-54.8750,33.6250
1257762,Walls,"Exterior - 10 1/4"" Rainscreen w Insultation on Metal Stud",,-90.0000,-95.2656,18.6875,-3.9167,-100.1250,18.2604,-90.4063,19.1146
1257796,Doors,"36"" x 84"" (90 MIN)",S11B,-90.0000,-95.7604,17.2083,-2.0833,-97.4271,15.2604,-94.0938,19.1563
1258318,Walls,"Exterior - 10 1/4"" Rainscreen w Insultation on Metal Stud",,180.0000,-90.4792,13.8802,-3.9167,-90.9063,8.6458,-90.0521,19.1146
1263678,Walls,"Chase - GWB & Metal Stud 4 1/4""",,0.0000,-50.4271,24.7135,6.2083,-50.6042,9.5833,-50.2500,39.8438
1300836,Walls,"Exterior - 5 3/8"" Rainscreen w Insultation (for Concrete Core Walls)",,-90.0000,-105.2135,18.4844,-3.9167,-110.9323,18.2604,-99.4948,18.7083
1304481,Walls,"Chase - GWB & Metal Stud 4 1/4""",,-90.0000,-94.8646,34.4688,-3.9167,-99.6250,34.2917,-90.1042,34.6458
1304482,Walls,"Chase - GWB & Metal Stud 6 5/8""",,-180.0000,-99.3490,38.3464,-3.9167,-99.6250,34.4688,-99.0729,42.2240
1304483,Walls,"Chase - GWB & Metal Stud 3 1/8""",,90.0000,-94.9661,25.0781,-3.9167,-99.6250,24.9479,-90.3073,25.2083
1304484,Walls,"Chase - GWB & Metal Stud 4 1/4""",,-180.0000,-90.2813,29.9193,-3.9167,-90.4583,25.2448,-90.1042,34.5938
1304485,Walls,"Chase - GWB & Metal Stud 3 1/8""",,-180.0000,-99.4948,21.9193,-3.9167,-99.6250,18.7604,-99.3646,25.0781
1342183,Walls,"Chase - GWB & Metal Stud 3 1/8""",,90.0000,-48.8895,18.0781,-2.6875,-49.5208,17.9479,-48.2582,18.2083
1343128,Walls,"Party - 6 1/8"" (2-hr)",,180.0000,-49.5208,14.3542,-2.6875,-50.0104,9.5000,-49.0312,19.2083
1374411,Columns,"24""D x 24""W",,90.0000,-90.7917,19.2604,6.2083,-91.7917,18.2604,-89.7917,20.2604
1475270,Walls,"Exterior - 5 3/8"" Rainscreen w Insultation (for Concrete Core Walls)",,0.0000,-99.4010,43.0990,-3.9167,-99.6250,42.2240,-99.1771,43.9740
1475387,Walls,"Exterior - 5 3/8"" Rainscreen w Insultation (for Concrete Core Walls)",,-180.0000,-49.9740,39.4870,-2.6875,-50.1979,36.2240,-49.7500,42.7500
1475676,Walls,"Exterior - 5 3/8"" Rainscreen w Insultation (for Concrete Core Walls)",,180.0000,-49.9740,43.0990,-2.6875,-50.1979,42.2240,-49.7500,43.9740
1483746,Walls,"Chase - GWB & Metal Stud 4 1/4""",,90.0000,-104.6510,42.4376,-4.6875,-109.1771,41.7500,-100.1250,43.1252
1646591,Railings,Pipe-Wall Mount,,,-100.6354,29.8125,-5.2928,-101.3715,24.4375,-99.8994,35.1875
1673837,Walls,"Chase - GWB & Metal Stud 3 1/8""",,-90.0000,-90.0495,21.4115,-3.9167,-90.3073,21.2813,-89.7917,21.5417
1673921,Walls,"Chase - GWB & Metal Stud 3 1/8""",,-180.0000,-89.9219,20.8255,-3.9167,-90.0521,20.1615,-89.7917,21.4896
1700768,Walls,Storefront,,-90.0000,-70.3646,8.9792,4.8333,-90.4792,8.4792,-50.2500,9.4792
2011537,Walls,"Chase - GWB & Metal Stud 3 1/8""",,90.0000,-50.0625,9.6615,-3.9167,-50.6042,9.5313,-49.5208,9.7917
2140164,Columns,"24""D x 24""W",,90.0000,-70.0000,19.2604,6.2083,-71.0000,18.2604,-69.0000,20.2604
2233274,Columns,"24""D x 24""W",,90.0000,-70.0000,41.4583,-0.2083,-71.0000,40.4583,-69.0000,42.4583
2233773,Columns,"24""D x 24""W",,90.0000,-90.7917,41.4583,-0.2083,-91.7917,40.4583,-89.7917,42.4583

=== TAGS ===
TagId,TagType,TaggedCategory,TaggedElementId,Current_U_ft,Current_V_ft,BBox_MinU,BBox_MinV,BBox_MaxU,BBox_MaxV
2661915,Door Tag,Doors,631497,-98.6875,21.9063,-99.4375,21.5313,-97.9375,22.2813
2661916,Door Tag,Doors,742710,-67.4896,28.6146,-68.2396,28.2396,-66.7396,28.9896
2661917,Door Tag,Doors,742829,-63.3385,38.9688,-64.0885,38.5938,-62.5885,39.3438
2661918,Door Tag,Doors,744342,-91.9583,13.8542,-92.7083,13.4792,-91.2083,14.2292
2661919,Door Tag,Doors,1247720,-59.2448,25.9896,-59.9948,25.6146,-58.4948,26.3646
2661920,Door Tag,Doors,1247789,-59.2448,30.2708,-59.9948,29.8958,-58.4948,30.6458
2661921,Door Tag,Doors,1250146,-56.1250,32.3177,-56.8750,31.9427,-55.3750,32.6927
2661922,Door Tag,Doors,1257796,-95.7604,17.2083,-96.5104,16.8333,-95.0104,17.5833
